query_id,doc_id,relevance
1,28,1
1,35,1
1,38,1
1,42,1
1,43,1
1,52,1
1,65,1
1,76,1
1,86,1
1,150,1
1,189,1
1,192,1
1,193,1
1,195,1
1,215,1
1,269,1
1,291,1
1,320,1
1,429,1
1,465,1
1,466,1
1,482,1
1,483,1
1,510,1
1,524,1
1,541,1
1,576,1
1,582,1
1,589,1
1,603,1
1,650,1
1,680,1
1,711,1
1,722,1
1,726,1
1,783,1
1,813,1
1,820,1
1,868,1
1,869,1
1,894,1
1,1162,1
1,1164,1
1,1195,1
1,1196,1
1,1281,1
2,29,1
2,68,1
2,197,1
2,213,1
2,214,1
2,309,1
2,319,1
2,324,1
2,429,1
2,499,1
2,636,1
2,669,1
2,670,1
2,674,1
2,690,1
2,692,1
2,695,1
2,700,1
2,704,1
2,709,1
2,720,1
2,731,1
2,733,1
2,738,1
2,740,1
2,1136,1
3,60,1
3,85,1
3,114,1
3,123,1
3,126,1
3,131,1
3,133,1
3,136,1
3,138,1
3,140,1
3,346,1
3,359,1
3,363,1
3,372,1
3,412,1
3,445,1
3,454,1
3,461,1
3,463,1
3,469,1
3,532,1
3,537,1
3,540,1
3,553,1
3,554,1
3,555,1
3,585,1
3,590,1
3,599,1
3,640,1
3,660,1
3,664,1
3,803,1
3,901,1
3,909,1
3,911,1
3,1027,1
3,1053,1
3,1169,1
3,1179,1
3,1181,1
3,1190,1
3,1191,1
3,1326,1
4,310,1
4,315,1
4,321,1
4,329,1
4,332,1
4,420,1
4,601,1
4,980,1
5,32,1
5,56,1
5,65,1
5,114,1
5,124,1
5,137,1
5,187,1
5,188,1
5,191,1
5,241,1
5,339,1
5,370,1
5,400,1
5,451,1
5,453,1
5,471,1
5,525,1
5,528,1
5,642,1
5,648,1
5,692,1
5,1035,1
5,1246,1
5,1356,1
6,400,1
7,310,1
7,320,1
7,332,1
7,375,1
7,376,1
7,645,1
7,724,1
7,725,1
8,37,1
8,40,1
8,65,1
8,507,1
8,529,1
8,707,1
8,760,1
8,802,1
8,864,1
8,900,1
8,1024,1
8,1161,1
8,1225,1
8,1226,1
8,1267,1
8,1382,1
8,1409,1
8,1414,1
9,6,1
9,174,1
9,175,1
9,179,1
9,212,1
9,320,1
9,324,1
9,329,1
9,566,1
9,572,1
9,577,1
9,600,1
9,1077,1
9,1120,1
9,1129,1
9,1130,1
9,1131,1
9,1159,1
9,1161,1
9,1162,1
9,1164,1
9,1165,1
9,1185,1
9,1190,1
9,1191,1
9,1224,1
9,1225,1
9,1267,1
9,1294,1
9,1323,1
9,1327,1
9,1382,1
9,1388,1
9,1427,1
10,25,1
10,175,1
10,228,1
10,229,1
10,233,1
10,277,1
10,399,1
10,462,1
10,536,1
10,540,1
10,574,1
10,605,1
10,615,1
10,829,1
10,972,1
10,1045,1
10,1082,1
10,1116,1
10,1117,1
10,1119,1
10,1123,1
10,1141,1
10,1159,1
10,1173,1
10,1204,1
10,1385,1
11,2,1
11,15,1
11,32,1
11,33,1
11,37,1
11,41,1
11,63,1
11,67,1
11,87,1
11,90,1
11,95,1
11,110,1
11,113,1
11,116,1
11,121,1
11,153,1
11,160,1
11,163,1
11,165,1
11,166,1
11,169,1
11,172,1
11,199,1
11,202,1
11,215,1
11,219,1
11,223,1
11,243,1
11,252,1
11,254,1
11,266,1
11,309,1
11,314,1
11,327,1
11,345,1
